# mp_msun mc_msun inclination_deg
1.5668148972e+00 1.1667037243e+00 7.6749959156e+01
1.5454974986e+00 1.1863813230e+00 7.3107482888e+01
1.5602556976e+00 1.1699833241e+00 7.5900483600e+01
1.5602556976e+00 1.1683435242e+00 7.6131017483e+01
1.5651750973e+00 1.1667037243e+00 7.6652986081e+01
1.5635352974e+00 1.1634241245e+00 7.7048682603e+01
1.5635352974e+00 1.1732629238e+00 7.5629576294e+01
1.5635352974e+00 1.1699833241e+00 7.6084295532e+01
1.5700944969e+00 1.1667037243e+00 7.6945968104e+01
1.5602556976e+00 1.1683435242e+00 7.6131017483e+01
1.5569760978e+00 1.1781823235e+00 7.4640152055e+01
1.5733740967e+00 1.1617843246e+00 7.7929657393e+01
1.5668148972e+00 1.1634241245e+00 7.7249934109e+01
1.5733740967e+00 1.1552251251e+00 7.9073466094e+01
1.5618954975e+00 1.1683435242e+00 7.6224289469e+01
1.5733740967e+00 1.1634241245e+00 7.7661864522e+01
1.5684546971e+00 1.1585047248e+00 7.8152957996e+01
1.5782934964e+00 1.1552251251e+00 7.9436028917e+01
1.5553362979e+00 1.1847415231e+00 7.3758652137e+01
1.5733740967e+00 1.1585047248e+00 7.8485967306e+01
1.5454974986e+00 1.1847415231e+00 7.3294011193e+01
1.5618954975e+00 1.1749027237e+00 7.5320704037e+01
1.5487770984e+00 1.1798221234e+00 7.4028968401e+01
1.5618954975e+00 1.1683435242e+00 7.6224289469e+01
1.5618954975e+00 1.1732629238e+00 7.5540509087e+01
1.5553362979e+00 1.1798221234e+00 7.4352871008e+01
1.5668148972e+00 1.1601445247e+00 7.7772897633e+01
1.5569760978e+00 1.1749027237e+00 7.5060774976e+01
1.5635352974e+00 1.1699833241e+00 7.6084295532e+01
1.5651750973e+00 1.1617843246e+00 7.7405156652e+01
1.5733740967e+00 1.1585047248e+00 7.8485967306e+01
1.5586158977e+00 1.1831017232e+00 7.4113606552e+01
1.5520566982e+00 1.1847415231e+00 7.3602411570e+01
1.5635352974e+00 1.1699833241e+00 7.6084295532e+01
1.5618954975e+00 1.1667037243e+00 7.6461028721e+01
1.5684546971e+00 1.1650639244e+00 7.7096897262e+01
1.5635352974e+00 1.1699833241e+00 7.6084295532e+01
1.5602556976e+00 1.1716231240e+00 7.5674197154e+01
1.5569760978e+00 1.1732629238e+00 7.5276366704e+01
1.5684546971e+00 1.1683435242e+00 7.6603551199e+01
1.5635352974e+00 1.1699833241e+00 7.6084295532e+01
1.5733740967e+00 1.1601445247e+00 7.8204196603e+01
1.5618954975e+00 1.1683435242e+00 7.6224289469e+01
1.5602556976e+00 1.1781823235e+00 7.4807745074e+01
1.5668148972e+00 1.1683435242e+00 7.6507783698e+01
1.5684546971e+00 1.1650639244e+00 7.7096897262e+01
1.5618954975e+00 1.1732629238e+00 7.5540509087e+01
1.5684546971e+00 1.1634241245e+00 7.7351709734e+01
1.5635352974e+00 1.1732629238e+00 7.5629576294e+01
1.5618954975e+00 1.1667037243e+00 7.6461028721e+01
1.5651750973e+00 1.1699833241e+00 7.6177071808e+01
1.5733740967e+00 1.1617843246e+00 7.7929657393e+01
1.5684546971e+00 1.1634241245e+00 7.7351709734e+01
1.5569760978e+00 1.1765425236e+00 7.4848753322e+01
1.5635352974e+00 1.1667037243e+00 7.6556680694e+01
1.5750138966e+00 1.1568649250e+00 7.8891702568e+01
1.5668148972e+00 1.1732629238e+00 7.5809297999e+01
1.5618954975e+00 1.1716231240e+00 7.5764245367e+01
