# mp_msun mc_msun inclination_deg
1.3171798388e+00 1.2525756787e+00 6.4735867934e+01
1.3283363248e+00 1.2416128506e+00 6.5836448495e+01
1.3309158592e+00 1.2389043872e+00 6.6112843004e+01
1.3312383010e+00 1.2387109256e+00 6.6137389927e+01
1.3307223941e+00 1.2390333617e+00 6.6097216723e+01
1.3238221397e+00 1.2460624691e+00 6.5382292970e+01
1.3229837911e+00 1.2469652902e+00 6.5293998479e+01
1.3240156048e+00 1.2458690074e+00 6.5401717216e+01
1.3267886042e+00 1.2430960568e+00 6.5682402018e+01
1.3267241159e+00 1.2431605440e+00 6.5675825645e+01
1.3231772561e+00 1.2466428541e+00 6.5322056141e+01
1.3472314139e+00 1.2227825812e+00 6.7887496823e+01
1.3172443271e+00 1.2527046531e+00 6.4729461703e+01
1.3339468120e+00 1.2360024621e+00 6.6422825795e+01
1.3371712300e+00 1.2327781009e+00 6.6768606049e+01
1.3298840454e+00 1.2400651573e+00 6.5996333530e+01
1.3238866281e+00 1.2459979819e+00 6.5388765451e+01
1.3252408836e+00 1.2447727246e+00 6.5516384641e+01
1.3349786258e+00 1.2350996410e+00 6.6523391550e+01
1.3186630710e+00 1.2512859342e+00 6.4867426728e+01
1.3253698603e+00 1.2446437502e+00 6.5529425837e+01
1.3346561840e+00 1.2352931027e+00 6.6498331224e+01
1.3493595297e+00 1.2205900156e+00 6.8139809260e+01
1.3366553231e+00 1.2332939987e+00 6.6712833503e+01
1.3481987393e+00 1.2216862984e+00 6.8009635259e+01
1.3360104395e+00 1.2339388710e+00 6.6643360020e+01
1.3291101851e+00 1.2408390039e+00 6.5916216385e+01
1.3329149983e+00 1.2369697705e+00 6.6318183008e+01
1.3424592754e+00 1.2275546358e+00 6.7345607089e+01
1.3302709756e+00 1.2396782339e+00 6.6036524210e+01
1.3253053720e+00 1.2445792629e+00 6.5531736868e+01
1.3383320204e+00 1.2316818181e+00 6.6889946724e+01
1.3284653015e+00 1.2414838762e+00 6.5849719042e+01
1.3307223941e+00 1.2391623361e+00 6.6088087936e+01
1.3281428598e+00 1.2418063123e+00 6.5816560672e+01
1.3300775105e+00 1.2398716956e+00 6.6016417813e+01
1.3249184418e+00 1.2450951607e+00 6.5483821935e+01
1.3381385553e+00 1.2316818181e+00 6.6883209559e+01
1.3342692538e+00 1.2356800260e+00 6.6457107388e+01
1.3383965088e+00 1.2315528437e+00 6.6901764091e+01
1.3344627189e+00 1.2354220771e+00 6.6482376833e+01
1.3202752800e+00 1.2496092664e+00 6.5029743952e+01
1.3257567905e+00 1.2441923396e+00 6.5573032396e+01
1.3363973697e+00 1.2335519476e+00 6.6685011936e+01
