# mp_msun mc_msun inclination_deg
1.3588737201e+00 1.1843572241e+00 5.8545773524e+01
1.4931171786e+00 1.2044937429e+00 6.0739465040e+01
1.7347554039e+00 1.3655858931e+00 5.7595819199e+01
1.5434584755e+00 1.2414106940e+00 5.9839228490e+01
1.7011945392e+00 1.3555176337e+00 5.7411599179e+01
1.4931171786e+00 1.2212741752e+00 5.9766854029e+01
1.4931171786e+00 1.2179180887e+00 5.9957030315e+01
1.5803754266e+00 1.2649032992e+00 5.9405191496e+01
1.4796928328e+00 1.2380546075e+00 5.8536812433e+01
1.4360637088e+00 1.1675767918e+00 6.1517933699e+01
1.4427758817e+00 1.1709328783e+00 6.1486562570e+01
1.4293515358e+00 1.2212741752e+00 5.8255110876e+01
1.5401023891e+00 1.3152445961e+00 5.6077485320e+01
1.4226393629e+00 1.2179180887e+00 5.8274999929e+01
1.3420932878e+00 1.1340159272e+00 6.1066377540e+01
1.4998293515e+00 1.2179180887e+00 6.0120887218e+01
1.7481797497e+00 1.3420932878e+00 5.9004390531e+01
1.7448236633e+00 1.3588737201e+00 5.8110811584e+01
1.5367463026e+00 1.2716154721e+00 5.8083773249e+01
1.5803754266e+00 1.3051763367e+00 5.7360506850e+01
1.5098976109e+00 1.2179180887e+00 6.0367958593e+01
1.5937997725e+00 1.3085324232e+00 5.7476842652e+01
1.5602389078e+00 1.2313424346e+00 6.0819583344e+01
1.4763367463e+00 1.2447667804e+00 5.8111145234e+01
1.8320819113e+00 1.4192832765e+00 5.6983835241e+01
1.6777019340e+00 1.3655858931e+00 5.6501355426e+01
1.6240045506e+00 1.2984641638e+00 5.8609576314e+01
1.5870875995e+00 1.3253128555e+00 5.6555759883e+01
1.2816837315e+00 1.0769624573e+00 6.3146533160e+01
1.6743458476e+00 1.3152445961e+00 5.8826277208e+01
1.9495449374e+00 1.4293515358e+00 5.8676169219e+01
1.5971558589e+00 1.2850398180e+00 5.8716997049e+01
1.6978384528e+00 1.3722980660e+00 5.6583943720e+01
1.2112059158e+00 1.1440841866e+00 5.7037395551e+01
1.7716723549e+00 1.4159271900e+00 5.6045238773e+01
1.5937997725e+00 1.2279863481e+00 6.1857671652e+01
1.5736632537e+00 1.2380546075e+00 6.0753526820e+01
1.5837315131e+00 1.3018202503e+00 5.7591851260e+01
1.4562002275e+00 1.1575085324e+00 6.2734853905e+01
1.5837315131e+00 1.2313424346e+00 6.1399674857e+01
1.5098976109e+00 1.2313424346e+00 5.9605308430e+01
1.9092718999e+00 1.5333902162e+00 5.3733109596e+01
1.4562002275e+00 1.1910693970e+00 6.0601723063e+01
1.6340728100e+00 1.2716154721e+00 6.0264180333e+01
1.2816837315e+00 1.1138794084e+00 6.0641996143e+01
1.7280432309e+00 1.3622298066e+00 5.7622203826e+01
1.8153014790e+00 1.3722980660e+00 5.8853793331e+01
1.6105802048e+00 1.3051763367e+00 5.7989070741e+01
