# mp_msun mc_msun inclination_deg
1.3454493743e+00 8.1004196737e-01 8.0119618385e+01
1.4763367463e+00 8.5798779309e-01 7.8776205881e+01
1.4830489192e+00 8.5798779309e-01 7.9343599093e+01
1.4562002275e+00 8.5025459539e-01 7.9082732297e+01
1.3991467577e+00 8.2860164184e-01 7.9901137908e+01
1.3353811149e+00 8.0694868829e-01 8.0035376250e+01
1.3689419795e+00 8.1932180461e-01 7.9691245087e+01
1.1541524460e+00 7.4198982765e-01 8.0903148924e+01
1.1776450512e+00 7.4817638580e-01 8.1669838024e+01
1.3857224118e+00 8.2241508369e-01 8.0429838866e+01
1.4864050057e+00 8.6108107217e-01 7.8819456615e+01
1.3588737201e+00 8.1622852553e-01 7.9616149190e+01
1.2380546075e+00 7.7292261843e-01 8.0333108335e+01
1.2548350398e+00 7.8065581613e-01 7.9721198442e+01
1.4125711035e+00 8.3169492092e-01 8.0294530234e+01
1.2447667804e+00 7.7756253705e-01 7.9609844971e+01
1.4159271900e+00 8.3788147908e-01 7.8866815991e+01
1.4025028441e+00 8.3014828138e-01 7.9773519182e+01
1.2313424346e+00 7.7137597889e-01 8.0087214476e+01
1.5098976109e+00 8.7036090940e-01 7.8399524617e+01
1.3655858931e+00 8.1777516507e-01 7.9816184838e+01
1.3689419795e+00 8.2396172322e-01 7.8435547459e+01
1.3756541524e+00 8.2086844415e-01 7.9890219735e+01
1.1675767918e+00 7.4817638580e-01 8.0400696108e+01
1.3823663254e+00 8.2396172322e-01 7.9638976655e+01
1.4897610922e+00 8.5953443263e-01 7.9511434435e+01
1.2044937429e+00 7.5900286258e-01 8.1120588282e+01
1.2581911263e+00 7.8220245567e-01 7.9603275771e+01
1.4025028441e+00 8.3169492092e-01 7.9338448535e+01
1.3118885097e+00 8.0076213014e-01 7.9525536547e+01
1.2514789534e+00 7.7601589751e-01 8.0837386377e+01
1.4192832765e+00 8.3633483954e-01 7.9584169139e+01
1.2380546075e+00 7.7446925797e-01 7.9845644230e+01
1.3387372014e+00 8.1004196737e-01 7.9458255659e+01
1.4125711035e+00 8.3169492092e-01 8.0294530234e+01
1.3152445961e+00 7.9766885106e-01 8.0834074292e+01
1.4897610922e+00 8.6262771170e-01 7.8703062655e+01
1.4092150171e+00 8.3633483954e-01 7.8693567042e+01
1.3622298066e+00 8.2086844415e-01 7.8654275501e+01
1.1071672355e+00 7.2652343226e-01 8.0462302314e+01
1.5098976109e+00 8.6881426986e-01 7.8781460086e+01
1.3957906712e+00 8.2860164184e-01 7.9582930213e+01
1.3253128555e+00 8.0385540921e-01 7.9948470294e+01
1.2481228669e+00 7.7756253705e-01 7.9961344978e+01
1.5635949943e+00 8.8737394433e-01 7.8443628294e+01
1.4159271900e+00 8.3633483954e-01 7.9279326332e+01
1.4125711035e+00 8.3478820000e-01 7.9400546287e+01
1.2414106940e+00 7.7446925797e-01 8.0207572283e+01
1.3353811149e+00 8.0849532783e-01 7.9578519767e+01
1.2380546075e+00 7.7292261843e-01 8.0333108335e+01
1.5266780432e+00 8.7500082802e-01 7.8584058228e+01
1.2716154721e+00 7.8529573474e-01 8.0059554001e+01
1.4293515358e+00 8.4252139769e-01 7.8808634289e+01
1.2514789534e+00 7.7910917659e-01 7.9840538324e+01
1.3454493743e+00 8.1158860691e-01 7.9660333687e+01
1.4629124005e+00 8.4870795585e-01 8.0116638169e+01
1.3890784983e+00 8.2705500230e-01 7.9394095253e+01
1.5199658703e+00 8.7190754894e-01 7.8817487708e+01
1.2783276451e+00 7.8838901382e-01 7.9813938004e+01
1.2649032992e+00 7.8220245567e-01 8.0311647270e+01
1.5568828214e+00 8.8273402571e-01 7.9062392886e+01
1.2984641638e+00 7.9612221152e-01 7.9552339524e+01
1.3756541524e+00 8.2086844415e-01 7.9890219735e+01
1.3152445961e+00 8.0385540921e-01 7.8975238967e+01
1.4662684869e+00 8.5180123493e-01 7.9547777351e+01
1.3018202503e+00 7.9457557198e-01 8.0367944681e+01
1.3186006826e+00 8.0076213014e-01 8.0203307854e+01
1.2179180887e+00 7.6518942074e-01 8.0589418699e+01
1.6340728100e+00 9.1366681650e-01 7.7532387471e+01
1.3957906712e+00 8.2860164184e-01 7.9582930213e+01
1.3118885097e+00 7.9766885106e-01 8.0465314389e+01
1.4696245734e+00 8.5334787447e-01 7.9422580617e+01
1.2850398180e+00 7.8838901382e-01 8.0528836641e+01
1.2816837315e+00 7.8838901382e-01 8.0165049932e+01
1.5233219568e+00 8.7654746756e-01 7.7958033513e+01
1.1407281001e+00 7.3889654857e-01 8.0329260869e+01
1.2749715586e+00 7.8529573474e-01 8.0421599430e+01
1.3353811149e+00 8.0540204875e-01 8.0515822518e+01
1.4125711035e+00 8.3324156046e-01 7.9836994037e+01
1.5233219568e+00 8.7190754894e-01 7.9091858552e+01
1.2212741752e+00 7.6673606027e-01 8.0461332294e+01
1.4629124005e+00 8.5180123493e-01 7.9252064462e+01
1.2414106940e+00 7.7446925797e-01 8.0207572283e+01
1.3118885097e+00 7.9921549060e-01 7.9983620120e+01
1.3488054608e+00 8.1468188599e-01 7.9105921230e+01
1.3320250284e+00 8.0540204875e-01 8.0163756270e+01
1.3991467577e+00 8.2860164184e-01 7.9901137908e+01
1.3454493743e+00 8.0849532783e-01 8.0602936280e+01
1.1742889647e+00 7.4817638580e-01 8.1226786765e+01
1.3790102389e+00 8.2550836276e-01 7.8906393239e+01
1.3118885097e+00 8.0230876968e-01 7.9088082416e+01
1.2313424346e+00 7.6982933935e-01 8.0589342803e+01
1.2145620023e+00 7.6209614166e-01 8.1263564195e+01
1.2279863481e+00 7.7137597889e-01 7.9727302740e+01
