# mp_msun mc_msun inclination_deg
1.1069144362e+00 7.3969981238e-01 7.9711128597e+01
1.2828823202e+00 8.0138836773e-01 7.9905176542e+01
1.2073258013e+00 7.7302063790e-01 8.0551172128e+01
1.2752142304e+00 7.9778611632e-01 8.0196029969e+01
1.1363403835e+00 7.5005628518e-01 7.9808167338e+01
1.1129002440e+00 7.4240150094e-01 7.9549330890e+01
1.1271066060e+00 7.5185741088e-01 7.8316809567e+01
1.3189569729e+00 8.1174484053e-01 8.0518901822e+01
1.1698484042e+00 7.6176360225e-01 7.9905176542e+01
1.3871242599e+00 8.3876172608e-01 7.9355062216e+01
1.3535102413e+00 8.2345215760e-01 8.0518901822e+01
1.1901853764e+00 7.6806754221e-01 8.0196029969e+01
1.2138862653e+00 7.7932457786e-01 7.9322672126e+01
1.2150198428e+00 7.7662288931e-01 8.0260629159e+01
1.1156665970e+00 7.4330206379e-01 7.9581697132e+01
1.3275062996e+00 8.1894934334e-01 7.9257881577e+01
1.2091350714e+00 7.7527204503e-01 8.0034476726e+01
1.2756731950e+00 8.0183864916e-01 7.9063426146e+01
1.2041170483e+00 7.7392120075e-01 7.9905176542e+01
1.1669731682e+00 7.6266416510e-01 7.9322672126e+01
1.2878262976e+00 8.0499061914e-01 7.9355062216e+01
1.1235696603e+00 7.4915572233e-01 7.8706591289e+01
1.1671204295e+00 7.6131332083e-01 7.9743478145e+01
1.2239908842e+00 7.8112570356e-01 7.9840507006e+01
1.1815520562e+00 7.6401500938e-01 8.0518901822e+01
1.2512102200e+00 7.8968105066e-01 8.0131418191e+01
1.3059701753e+00 8.0814258912e-01 8.0260629159e+01
1.1746930526e+00 7.6401500938e-01 7.9743478145e+01
1.3360697393e+00 8.1714821764e-01 8.0647964942e+01
1.3165950583e+00 8.1219512195e-01 8.0131418191e+01
1.1319300405e+00 7.5005628518e-01 7.9322672126e+01
1.2809713751e+00 8.0273921201e-01 7.9322672126e+01
1.1722943179e+00 7.5996247655e-01 8.0776980201e+01
1.2030176007e+00 7.7482176360e-01 7.9516961276e+01
1.3270726250e+00 8.1399624765e-01 8.0680223217e+01
1.4004473382e+00 8.3876172608e-01 8.0647964942e+01
1.2032164450e+00 7.7257035647e-01 8.0228331132e+01
1.1377551184e+00 7.5140712946e-01 7.9549330890e+01
1.2298016366e+00 7.8337711069e-01 7.9775824388e+01
1.2473265200e+00 7.8833020638e-01 8.0131418191e+01
1.0972003484e+00 7.3249530957e-01 8.0938183046e+01
1.2756330077e+00 8.0363977486e-01 7.8576723804e+01
1.3897417661e+00 8.3560975610e-01 8.0518901822e+01
8.8117377135e-01 6.5504690432e-01 7.9355062216e+01
1.0789401482e+00 7.2664165103e-01 8.0647964942e+01
1.1947276960e+00 7.7166979362e-01 7.9581697132e+01
1.2530764068e+00 7.9238273921e-01 7.9516961276e+01
1.2595488727e+00 7.9463414634e-01 7.9516961276e+01
1.1611175551e+00 7.5906191370e-01 7.9775824388e+01
1.2090458323e+00 7.7392120075e-01 8.0454352092e+01
1.3012268167e+00 8.0499061914e-01 8.0744730835e+01
1.1017159727e+00 7.4330206379e-01 7.8121714067e+01
1.2498484887e+00 7.9148217636e-01 7.9452211885e+01
1.3315744022e+00 8.1849906191e-01 7.9775824388e+01
1.0752301269e+00 7.2393996248e-01 8.1131531139e+01
1.0595980729e+00 7.2303939962e-01 7.9484588278e+01
1.3008637585e+00 8.0994371482e-01 7.9225481095e+01
1.4140001806e+00 8.4326454034e-01 8.0647964942e+01
1.2068700178e+00 7.7707317073e-01 7.9257881577e+01
1.1355065781e+00 7.4690431520e-01 8.0744730835e+01
1.1993875411e+00 7.7121951220e-01 8.0228331132e+01
1.1224393462e+00 7.4285178236e-01 8.0518901822e+01
1.2743360011e+00 8.0318949343e-01 7.8576723804e+01
1.1884512955e+00 7.6806754221e-01 8.0002156512e+01
1.0699178667e+00 7.2484052533e-01 8.0131418191e+01
1.2743021720e+00 8.0183864916e-01 7.8933718452e+01
1.1050500642e+00 7.3654784240e-01 8.0518901822e+01
1.2638433799e+00 7.9283302064e-01 8.0518901822e+01
1.1394083403e+00 7.5681050657e-01 7.8186761311e+01
1.1801271048e+00 7.6941838649e-01 7.8739048950e+01
9.1031279661e-01 6.6765478424e-01 7.8998579435e+01
1.0027361081e+00 7.0007504690e-01 8.0034476726e+01
1.1040686248e+00 7.3744840525e-01 8.0099107554e+01
1.3670538718e+00 8.2885553471e-01 8.0260629159e+01
1.3855264416e+00 8.3515947467e-01 8.0228331132e+01
1.4752575695e+00 8.6352720450e-01 8.0615703677e+01
1.1483458901e+00 7.5365853659e-01 8.0034476726e+01
1.3061074601e+00 8.1174484053e-01 7.9225481095e+01
1.1836949879e+00 7.6536585366e-01 8.0325215850e+01
1.2597565244e+00 7.9328330206e-01 7.9937506432e+01
1.1159557512e+00 7.4330206379e-01 7.9614060012e+01
1.1199489849e+00 7.4195121951e-01 8.0518901822e+01
1.3121085621e+00 8.1219512195e-01 7.9678775733e+01
1.2501701852e+00 7.9148217636e-01 7.9484588278e+01
1.4332873075e+00 8.5181988743e-01 8.0002156512e+01
1.4530732675e+00 8.5857410882e-01 7.9937506432e+01
1.2071887785e+00 7.7707317073e-01 7.9290278584e+01
1.1065931373e+00 7.3654784240e-01 8.0712478510e+01
1.2175845125e+00 7.7752345216e-01 8.0260629159e+01
1.3434412943e+00 8.2390243902e-01 7.9387448865e+01
1.2724928149e+00 7.9823639775e-01 7.9775824388e+01
1.0661458331e+00 7.2393996248e-01 7.9969833085e+01
1.5190526247e+00 8.8153846154e-01 7.9549330890e+01
1.3899788519e+00 8.3425891182e-01 8.0970414895e+01
1.0619291852e+00 7.2348968105e-01 7.9614060012e+01
1.1527976722e+00 7.5545966229e-01 7.9969833085e+01
1.3037938443e+00 8.0499061914e-01 8.1034869959e+01
1.2535005234e+00 7.9058161351e-01 8.0099107554e+01
1.2570878300e+00 7.9193245779e-01 8.0066793736e+01
1.1325936276e+00 7.5185741088e-01 7.8868843106e+01
1.0128805843e+00 7.0547842402e-01 7.9516961276e+01
1.1105878499e+00 7.3744840525e-01 8.0905948305e+01
1.1492466577e+00 7.5230769231e-01 8.0583439409e+01
1.1401080682e+00 7.4960600375e-01 8.0389790131e+01
1.2894203521e+00 8.0363977486e-01 7.9905176542e+01
1.3464805818e+00 8.2300187617e-01 7.9937506432e+01
1.2947135403e+00 8.0634146341e-01 7.9646419541e+01
1.2273240116e+00 7.8382739212e-01 7.9387448865e+01
1.2728005124e+00 7.9643527205e-01 8.0357504536e+01
1.2370150627e+00 7.8292682927e-01 8.0712478510e+01
1.2244457340e+00 7.7932457786e-01 8.0454352092e+01
1.2621913848e+00 7.9328330206e-01 8.0196029969e+01
1.2122582109e+00 7.7797373358e-01 7.9549330890e+01
1.3305724354e+00 8.1894934334e-01 7.9549330890e+01
1.4130533988e+00 8.4326454034e-01 8.0551172128e+01
1.1927334498e+00 7.7031894934e-01 7.9775824388e+01
1.2196363426e+00 7.8157598499e-01 7.9257881577e+01
1.3554479174e+00 8.2570356473e-01 8.0034476726e+01
1.1767229281e+00 7.6581613508e-01 7.9419832084e+01
1.2641330745e+00 7.9283302064e-01 8.0551172128e+01
1.2069681847e+00 7.7482176360e-01 7.9937506432e+01
1.0836588705e+00 7.2979362101e-01 8.0163725659e+01
1.3018813546e+00 8.0994371482e-01 7.9322672126e+01
1.1866572986e+00 7.6671669794e-01 8.0228331132e+01
1.3187345264e+00 8.0904315197e-01 8.1389170721e+01
1.3840862288e+00 8.3786116323e-01 7.9322672126e+01
1.3002146167e+00 8.1264540338e-01 7.8446796814e+01
1.3161198533e+00 8.1129455910e-01 8.0357504536e+01
1.4258025269e+00 8.4911819887e-01 8.0066793736e+01
1.1256931917e+00 7.4600375235e-01 7.9872843404e+01
1.1627222965e+00 7.6401500938e-01 7.8511767794e+01
1.2385410444e+00 7.8697936210e-01 7.9614060012e+01
1.1432331157e+00 7.5005628518e-01 8.0615703677e+01
1.1630086832e+00 7.5771106942e-01 8.0422072646e+01
1.1672172629e+00 7.6041275797e-01 8.0034476726e+01
1.2781082478e+00 7.9553470919e-01 8.1260373192e+01
1.3328368478e+00 8.1354596623e-01 8.1485740068e+01
1.6425006647e+00 9.2161350844e-01 7.9387448865e+01
1.3479188155e+00 8.2075046904e-01 8.0776980201e+01
1.2699240522e+00 7.9868667917e-01 7.9387448865e+01
1.2597565244e+00 7.9328330206e-01 7.9937506432e+01
1.1300410740e+00 7.4915572233e-01 7.9387448865e+01
1.3007075839e+00 8.0634146341e-01 8.0260629159e+01
1.2601911108e+00 7.9463414634e-01 7.9581697132e+01
1.1322677428e+00 7.4555347092e-01 8.0809226621e+01
1.2893642338e+00 8.0318949343e-01 8.0034476726e+01
1.1821129174e+00 7.6806754221e-01 7.9322672126e+01
1.2803128148e+00 8.0093808630e-01 7.9775824388e+01
1.1790433977e+00 7.6401500938e-01 8.0228331132e+01
1.2397678073e+00 7.8427767355e-01 8.0583439409e+01
1.2413790868e+00 7.9013133208e-01 7.8998579435e+01
1.2626524503e+00 7.9058161351e-01 8.1131531139e+01
1.0107604227e+00 7.0457786116e-01 7.9549330890e+01
1.1922375191e+00 7.7257035647e-01 7.9063426146e+01
1.1566389991e+00 7.5275797373e-01 8.1356975475e+01
1.3004795296e+00 8.0679174484e-01 8.0099107554e+01
1.2439286330e+00 7.8652908068e-01 8.0325215850e+01
1.1672610512e+00 7.6446529081e-01 7.8836400017e+01
1.2495257973e+00 7.9148217636e-01 7.9419832084e+01
1.1368982845e+00 7.5410881801e-01 7.8674129955e+01
9.3469404619e-01 6.7260787992e-01 8.0551172128e+01
1.1966929233e+00 7.7347091932e-01 7.9257881577e+01
1.3106229156e+00 8.0994371482e-01 8.0196029969e+01
1.3067332038e+00 8.1219512195e-01 7.9160669657e+01
1.1257814172e+00 7.4240150094e-01 8.1099313586e+01
1.1232314438e+00 7.4690431520e-01 7.9322672126e+01
1.2982874653e+00 8.0859287054e-01 7.9355062216e+01
1.2783368158e+00 8.0003752345e-01 7.9840507006e+01
1.1556660152e+00 7.5861163227e-01 7.9322672126e+01
1.2080209012e+00 7.7572232645e-01 7.9775824388e+01
1.2145086522e+00 7.8022514071e-01 7.9128258679e+01
1.3345516758e+00 8.1939962477e-01 7.9808167338e+01
1.4118851156e+00 8.4551594747e-01 7.9775824388e+01
1.2627611927e+00 7.9508442777e-01 7.9711128597e+01
1.1315836296e+00 7.4960600375e-01 7.9419832084e+01
1.2782735645e+00 8.0273921201e-01 7.9063426146e+01
1.1062443378e+00 7.3924953096e-01 7.9775824388e+01
1.2312920018e+00 7.8112570356e-01 8.0647964942e+01
1.1427675177e+00 7.5185741088e-01 7.9969833085e+01
1.0393668515e+00 7.1088180113e-01 8.1067093197e+01
1.2269947799e+00 7.8337711069e-01 7.9484588278e+01
1.2246637614e+00 7.8157598499e-01 7.9775824388e+01
9.9933480110e-01 6.9917448405e-01 7.9905176542e+01
1.2265766572e+00 7.8067542214e-01 8.0260629159e+01
1.1827005983e+00 7.6761726079e-01 7.9516961276e+01
1.4269978251e+00 8.5317073171e-01 7.9063426146e+01
1.1304883778e+00 7.4825515947e-01 7.9711128597e+01
1.2214248866e+00 7.8022514071e-01 7.9840507006e+01
1.2152944804e+00 7.7572232645e-01 8.0583439409e+01
1.3493798923e+00 8.1804878049e-01 8.1871776770e+01
1.3012198456e+00 8.0769230769e-01 7.9905176542e+01
