# mp_msun mc_msun inclination_deg
1.4946934448e+00 2.7663984274e-01 7.7365699350e+01
1.5181617388e+00 2.8174395648e-01 7.5554223768e+01
1.4720795198e+00 2.7308409226e-01 7.8161934912e+01
1.4849693389e+00 2.8093888555e-01 7.3514430919e+01
1.4837664051e+00 2.7536829573e-01 7.7365699350e+01
1.4612210759e+00 2.7494865738e-01 7.5638791445e+01
1.4716582468e+00 2.7395546572e-01 7.7365699350e+01
1.5005420718e+00 2.7667462348e-01 7.7910750187e+01
1.5241005936e+00 2.7944423683e-01 7.7868863262e+01
1.4955945110e+00 2.7664349281e-01 7.7449627715e+01
1.5569406741e+00 2.8221383176e-01 7.8747145195e+01
1.4719533658e+00 2.7321024628e-01 7.8036371717e+01
1.5051381119e+00 2.8568047188e-01 7.2142703171e+01
1.4749844423e+00 2.6972910806e-01 8.2194472172e+01
1.5018112414e+00 2.7948239015e-01 7.5807831180e+01
1.4964395511e+00 2.7987158125e-01 7.5088520605e+01
1.5286141075e+00 2.8130510205e-01 7.6777417260e+01
1.4922304187e+00 2.8272265786e-01 7.2958386597e+01
1.5246013180e+00 2.8167447120e-01 7.6145534310e+01
1.5369435880e+00 2.7935749289e-01 7.9289490537e+01
1.5006798833e+00 2.8424030479e-01 7.2658295222e+01
1.5273033961e+00 2.8170472900e-01 7.6356348960e+01
1.5124414892e+00 2.9110334126e-01 6.9803170919e+01
1.5002226725e+00 2.8107095901e-01 7.4579327351e+01
1.5201710354e+00 2.8610475378e-01 7.2915546096e+01
1.5210546533e+00 2.7885104197e-01 7.8078232563e+01
1.4895784214e+00 2.7452268175e-01 7.8705384629e+01
1.5188617052e+00 2.7695289274e-01 7.9622756324e+01
1.4806736007e+00 2.7259773581e-01 7.9581117748e+01
1.4607751592e+00 2.6955686509e-01 8.0371326592e+01
1.5740562301e+00 2.8298995398e-01 7.9872472277e+01
1.4753257296e+00 2.7794560688e-01 7.4706741043e+01
1.5444620090e+00 2.7777179609e-01 8.2029088124e+01
1.5027445089e+00 2.7447218635e-01 8.0288236411e+01
1.5241064267e+00 2.7989346783e-01 7.7491581624e+01
1.4722399066e+00 2.7382394506e-01 7.7533528720e+01
1.4868284138e+00 2.7727268938e-01 7.6145534310e+01
1.5097013169e+00 2.7884788554e-01 7.6987677568e+01
1.5312031303e+00 2.7780499481e-01 8.0205125602e+01
1.4957260491e+00 2.8284927888e-01 7.3129650743e+01
1.5080962948e+00 2.7501030768e-01 8.0371326592e+01
1.4926470881e+00 2.8321132056e-01 7.2701195268e+01
1.4940387771e+00 2.7910409699e-01 7.5427311870e+01
1.5198341712e+00 2.7507171547e-01 8.1905006284e+01
1.5080199434e+00 2.8098305860e-01 7.5257982128e+01
1.5159244976e+00 2.7989010032e-01 7.6735343529e+01
1.5077065647e+00 2.7630675380e-01 7.8997582302e+01
1.5339469371e+00 2.8554788624e-01 7.4239173069e+01
1.5309495176e+00 2.7942529153e-01 7.8580066351e+01
1.5069014576e+00 2.7529858262e-01 7.9914072577e+01
1.5206566181e+00 2.8698516692e-01 7.2443643876e+01
1.5352318148e+00 2.8471941013e-01 7.4876505650e+01
1.4499111958e+00 2.7952330120e-01 7.1884348405e+01
1.5086829439e+00 2.8168168696e-01 7.4834077304e+01
1.5257154962e+00 2.7737430834e-01 7.9997257084e+01
1.4760126853e+00 2.7906206826e-01 7.4026287672e+01
1.5264605870e+00 2.8528125024e-01 7.3855816334e+01
1.4944566235e+00 2.7325933896e-01 8.0578963045e+01
1.5354434697e+00 2.8633374308e-01 7.3855816334e+01
1.5166302624e+00 2.7509634245e-01 8.1408290413e+01
1.4891137875e+00 2.8855574690e-01 6.9672201814e+01
1.5227713340e+00 2.7440661818e-01 8.3350409892e+01
1.5012138005e+00 2.7600289475e-01 7.8580066351e+01
1.5116175052e+00 2.8010909965e-01 7.6187712450e+01
1.5096064172e+00 2.7894278529e-01 7.6903595008e+01
1.4826071119e+00 2.7066422457e-01 8.2111788416e+01
1.4628903463e+00 2.7283009980e-01 7.7449627715e+01
1.5475202904e+00 2.7928153503e-01 8.0620475268e+01
1.5003121456e+00 2.7781026638e-01 7.6945639864e+01
1.5184551119e+00 2.9191969725e-01 6.9759526825e+01
1.4637878569e+00 2.6968673482e-01 8.0620475268e+01
1.4665346981e+00 2.7413003837e-01 7.6735343529e+01
1.5363809369e+00 2.7855196983e-01 8.0038841340e+01
1.4963289216e+00 2.7998221079e-01 7.5003739865e+01
1.5206747418e+00 2.7468548130e-01 8.2566349319e+01
1.4766922609e+00 2.8650551287e-01 6.9934029987e+01
1.4752004343e+00 2.8844898490e-01 6.8927918164e+01
1.5524095038e+00 2.8125149622e-01 7.9164421908e+01
1.5217678402e+00 2.8359747636e-01 7.4579327351e+01
1.5167620515e+00 2.7859817165e-01 7.7868863262e+01
1.5100917241e+00 2.8754075616e-01 7.1452905485e+01
1.5109322952e+00 2.7489491615e-01 8.0869445111e+01
1.4953237201e+00 2.7646190635e-01 7.7575469027e+01
1.5178927728e+00 2.7655881575e-01 7.9914072577e+01
1.5492684893e+00 2.9355139587e-01 7.0760310020e+01
1.4439502070e+00 2.6756638088e-01 8.0412864007e+01
1.5124242428e+00 2.8475370943e-01 7.3172442467e+01
1.4971147012e+00 2.7738576704e-01 7.6987677568e+01
1.5328552841e+00 2.7843083891e-01 7.9747638907e+01
1.4956030927e+00 2.7392122417e-01 7.9997257084e+01
1.4812578258e+00 2.7742561531e-01 7.5554223768e+01
1.5021729858e+00 2.7549654865e-01 7.9164421908e+01
1.4829501541e+00 2.8069926509e-01 7.3514430919e+01
1.5200180682e+00 2.8307173636e-01 7.4791640439e+01
1.5033496866e+00 2.7477272536e-01 8.0038841340e+01
1.4989262228e+00 2.7874331163e-01 7.6103348511e+01
1.4705361023e+00 2.7102809960e-01 7.9997257084e+01
1.5171055306e+00 2.7552924882e-01 8.0952396196e+01
1.5062433464e+00 2.8366736973e-01 7.3386256743e+01
1.4875222549e+00 2.8245424682e-01 7.2786965387e+01
1.4789399476e+00 2.7207798686e-01 7.9914072577e+01
1.4859330808e+00 2.7907150595e-01 7.4791640439e+01
1.4907180033e+00 2.9828499867e-01 6.5641981762e+01
1.4788269305e+00 2.7444440598e-01 7.7659329379e+01
1.4843673678e+00 2.8018545787e-01 7.3941070253e+01
1.4949289208e+00 2.7957154748e-01 7.5173267951e+01
1.5244122881e+00 2.8277412677e-01 7.5342663360e+01
1.5109271222e+00 2.8352446630e-01 7.3813175613e+01
1.4660357369e+00 2.8047829255e-01 7.2443643876e+01
1.4680662602e+00 2.8700849329e-01 6.9191024681e+01
1.4897813774e+00 2.7477144826e-01 7.8496490101e+01
1.4758598112e+00 2.7245531619e-01 7.9164421908e+01
1.5073648989e+00 2.7800878166e-01 7.7449627715e+01
1.4901551686e+00 2.7710880161e-01 7.6566975496e+01
1.4966148348e+00 2.8513198183e-01 7.1884348405e+01
1.4999643742e+00 2.7498870237e-01 7.9414507550e+01
1.5363186104e+00 2.7815831467e-01 8.0454396336e+01
1.4783128803e+00 2.7946815728e-01 7.3941070253e+01
1.4935936258e+00 2.7186276050e-01 8.2194472172e+01
1.4786451683e+00 2.7507696451e-01 7.7113748025e+01
1.4727713166e+00 2.7284239590e-01 7.8454692681e+01
1.5532509008e+00 2.8498764032e-01 7.6145534310e+01
1.5179595747e+00 2.8831621449e-01 7.1539280443e+01
1.4808310726e+00 2.7424368092e-01 7.8036371717e+01
1.4941490564e+00 2.7311491382e-01 8.0703484835e+01
1.4753624167e+00 2.7655676259e-01 7.5681063290e+01
1.4871276913e+00 2.7516690734e-01 7.7868863262e+01
1.4570106498e+00 2.7377019631e-01 7.6145534310e+01
1.4980417428e+00 2.8370507380e-01 7.2786965387e+01
1.5103230793e+00 2.8094949586e-01 7.5469623924e+01
1.5014864965e+00 2.8207344480e-01 7.4026287672e+01
1.5019317371e+00 2.7664359093e-01 7.8078232563e+01
1.5269469136e+00 2.8206121145e-01 7.6061155025e+01
1.4965734117e+00 2.8109612271e-01 7.4281723271e+01
1.4955344424e+00 2.7534654468e-01 7.8580066351e+01
1.5105713839e+00 2.8842491049e-01 7.1020369769e+01
1.5020181834e+00 2.7565135105e-01 7.8997582302e+01
1.4923505453e+00 2.7175055783e-01 8.2153132349e+01
1.4976224509e+00 2.8321803394e-01 7.3044038180e+01
1.4916349950e+00 2.7924599211e-01 7.5130898438e+01
1.5254452316e+00 2.8265196194e-01 7.5511927880e+01
1.4891157826e+00 2.7995638792e-01 7.4451835457e+01
1.5333371514e+00 2.7840468587e-01 7.9830866582e+01
1.5134824306e+00 2.7597440935e-01 7.9997257084e+01
1.4900217330e+00 2.7498285377e-01 7.8329262945e+01
1.5159774477e+00 2.7529512748e-01 8.1076787034e+01
1.5130631471e+00 2.7503229421e-01 8.0993864557e+01
1.5058051856e+00 2.7277014243e-01 8.2896642113e+01
1.5196107024e+00 2.8302411457e-01 7.4791640439e+01
1.5032901959e+00 2.7347369874e-01 8.1532528898e+01
1.4783995914e+00 2.7126676555e-01 8.0744982225e+01
1.4976868779e+00 2.8315360699e-01 7.3086849324e+01
1.4938651931e+00 2.8199321555e-01 7.3514430919e+01
1.5307218797e+00 2.8010856724e-01 7.7952630554e+01
1.5137356288e+00 2.7889915056e-01 7.7323724844e+01
1.4736287504e+00 2.7423604452e-01 7.7323724844e+01
1.5363007169e+00 2.7954426776e-01 7.9039301002e+01
1.5203692575e+00 2.8090082628e-01 7.6356348960e+01
1.4338972381e+00 2.7314960013e-01 7.4621807233e+01
1.5132496499e+00 2.7484579141e-01 8.1242575657e+01
1.5213341691e+00 2.8084569851e-01 7.6482747241e+01
1.4934883637e+00 2.8237004493e-01 7.3257996956e+01
1.5354227661e+00 2.8315936858e-01 7.5976744886e+01
1.5104885528e+00 2.7942216336e-01 7.6609078524e+01
1.5314284019e+00 2.8304852320e-01 7.5723327176e+01
1.5044534502e+00 2.7910649106e-01 7.6314201186e+01
1.5102287048e+00 2.7741301379e-01 7.8245611639e+01
1.4899687430e+00 2.7593948152e-01 7.7491581624e+01
1.4708040979e+00 2.7165972431e-01 7.9372840907e+01
1.4690902354e+00 2.7292375722e-01 7.7994504389e+01
1.5358703764e+00 2.8590683634e-01 7.4154045875e+01
1.5447166466e+00 2.7934390909e-01 8.0205125602e+01
1.5283368561e+00 2.8522822023e-01 7.4026287672e+01
1.4217189500e+00 2.6348252170e-01 8.2318467199e+01
1.5103719645e+00 2.7908487546e-01 7.6861542972e+01
1.4381237478e+00 2.7115747825e-01 7.6440621960e+01
1.4732869163e+00 2.7502821109e-01 7.6651174188e+01
1.5213171098e+00 2.7358877687e-01 8.4503634743e+01
1.5141734589e+00 2.8164113904e-01 7.5300326848e+01
1.4631152946e+00 2.7080839042e-01 7.9331168577e+01
1.4950884279e+00 2.7534029724e-01 7.8538281315e+01
1.4825318444e+00 2.7885973343e-01 7.4664278454e+01
1.4950537101e+00 2.7130639107e-01 8.3267938661e+01
1.4624470326e+00 2.7012948869e-01 7.9955667504e+01
1.5045033624e+00 2.7905657887e-01 7.6356348960e+01
1.4818933922e+00 2.7363231219e-01 7.8705384629e+01
1.4629312778e+00 2.7323845551e-01 7.7113748025e+01
1.5071267075e+00 2.7734002656e-01 7.7994504389e+01
1.5050594647e+00 2.7532791192e-01 7.9664389360e+01
1.5140090559e+00 2.7635557487e-01 7.9664389360e+01
1.5018388945e+00 2.7311418211e-01 8.1780886213e+01
1.5122298689e+00 2.7405091170e-01 8.2111788416e+01
1.5192033748e+00 2.8297649278e-01 7.4791640439e+01
1.5236801943e+00 2.7849967332e-01 7.8663617982e+01
1.4838623263e+00 2.7346756748e-01 7.9081013820e+01
1.4991916219e+00 2.7395125227e-01 8.0412864007e+01
1.4826618367e+00 2.8369826452e-01 7.1755028325e+01
1.4981170589e+00 2.7683601764e-01 7.7533528720e+01
1.4453174519e+00 2.7335883446e-01 7.5427311870e+01
1.5142154524e+00 2.7478754965e-01 8.1449707735e+01
1.5187829532e+00 2.8248713059e-01 7.5088520605e+01
1.4991423020e+00 2.7762159261e-01 7.6987677568e+01
1.5102557902e+00 2.7330415105e-01 8.2855368716e+01
1.4585183223e+00 2.8979680510e-01 6.7427931188e+01
1.4787688526e+00 2.7540411516e-01 7.6861542972e+01
1.4995190699e+00 2.8177456164e-01 7.4068882767e+01
1.4928352147e+00 2.7307300981e-01 8.0578963045e+01
1.5175648558e+00 2.7688673275e-01 7.9539473606e+01
1.5090992042e+00 2.7400739831e-01 8.1698117953e+01
1.4979398772e+00 2.7158443967e-01 8.3350409892e+01
1.5045093320e+00 2.7361308003e-01 8.1532528898e+01
1.5036265209e+00 2.8810008398e-01 7.0760310020e+01
1.4785506933e+00 2.7923034431e-01 7.4111468825e+01
1.4955266667e+00 2.8712663543e-01 7.0760310020e+01
1.4774292528e+00 2.7178665565e-01 8.0038841340e+01
1.4985780126e+00 2.8362202760e-01 7.2872695748e+01
1.5423676387e+00 2.8169291703e-01 7.7743162886e+01
1.5113507499e+00 2.7946783388e-01 7.6651174188e+01
1.4696179704e+00 2.7014745551e-01 8.0869445111e+01
1.4970342054e+00 2.7701369296e-01 7.7281743419e+01
1.5163827372e+00 2.8625207973e-01 7.2572465000e+01
1.4988856836e+00 2.7380473612e-01 8.0537445831e+01
1.5186735571e+00 2.8578143983e-01 7.3001217281e+01
1.4688973944e+00 2.7266680742e-01 7.8203776466e+01
1.4927816763e+00 2.7267471008e-01 8.1035328162e+01
1.4815534460e+00 2.7893526526e-01 7.4536838781e+01
1.4852489225e+00 2.8111117867e-01 7.3428990941e+01
1.5018960488e+00 2.8438473182e-01 7.2658295222e+01
1.5105243064e+00 2.7802489604e-01 7.7743162886e+01
1.4915308080e+00 2.8930967684e-01 6.9453672823e+01
1.5685529885e+00 2.8573687299e-01 7.6903595008e+01
1.5233292559e+00 2.8021557454e-01 7.7155757380e+01
1.5297285421e+00 2.8019066752e-01 7.7785069637e+01
1.5248769622e+00 2.8003317548e-01 7.7449627715e+01
1.5162283028e+00 2.8231334858e-01 7.5003739865e+01
1.5456045501e+00 2.8074030175e-01 7.8914127157e+01
1.5232232661e+00 2.8396314874e-01 7.4451835457e+01
1.4588853400e+00 2.9123150409e-01 6.6850130873e+01
1.5135948792e+00 2.8903993776e-01 7.0890391015e+01
1.4741337834e+00 2.7688415106e-01 7.5342663360e+01
1.4782948491e+00 2.7632899220e-01 7.6103348511e+01
1.5231918180e+00 2.7625915767e-01 8.0910923055e+01
1.5102613112e+00 2.7556590012e-01 8.0038841340e+01
1.5321923325e+00 2.8319659408e-01 7.5681063290e+01
1.4869146112e+00 2.7808997549e-01 7.5554223768e+01
1.5000993180e+00 2.7304355611e-01 8.1615332242e+01
1.4739589459e+00 2.7075460448e-01 8.0744982225e+01
1.5118018098e+00 2.7447897075e-01 8.1491120555e+01
1.4724167792e+00 2.7184674810e-01 7.9372840907e+01
1.5048252485e+00 2.8054843207e-01 7.5300326848e+01
