# mp_msun mc_msun inclination_deg
1.2700246194e+00 1.2184522405e+00 4.5113742047e+01
1.2590877365e+00 1.2291936535e+00 4.4610294290e+01
1.2858440393e+00 1.2026330686e+00 4.5875506739e+01
1.2913124807e+00 1.1973600114e+00 4.6139396598e+01
1.2706105239e+00 1.2178663453e+00 4.5141422606e+01
1.2575253247e+00 1.2309513393e+00 4.4532591398e+01
1.2881876571e+00 1.2002894876e+00 4.5990970321e+01
1.2928748926e+00 1.1957976240e+00 4.6217351068e+01
1.3092802169e+00 1.1793925569e+00 4.7055356568e+01
1.2704152224e+00 1.2178663453e+00 4.5138410006e+01
1.3280291590e+00 1.1602533119e+00 4.8074098492e+01
1.2946326059e+00 1.1936493414e+00 4.6318774799e+01
1.3049835843e+00 1.1834938237e+00 4.6839249277e+01
1.2881876571e+00 1.2002894876e+00 4.5990970321e+01
1.3030305695e+00 1.1854468078e+00 4.6738686524e+01
1.2536192951e+00 1.2346620092e+00 4.4360493407e+01
1.2883829585e+00 1.2000941892e+00 4.6000623535e+01
1.2768601712e+00 1.2114214975e+00 4.5445534030e+01
1.3278338575e+00 1.1608392071e+00 4.8048577271e+01
1.2770554727e+00 1.2114214975e+00 4.5448579104e+01
1.2860393408e+00 1.2024377702e+00 4.5885102357e+01
1.3094755184e+00 1.1790019600e+00 4.7072532527e+01
1.3159204672e+00 1.1723618138e+00 4.7419310632e+01
1.3069365991e+00 1.1815408395e+00 4.6940333978e+01
1.2973668266e+00 1.1911104620e+00 4.6449961560e+01
1.2872111497e+00 1.2010706813e+00 4.5949306540e+01
1.2827192156e+00 1.2059531418e+00 4.5716181278e+01
1.2874064511e+00 1.2010706813e+00 4.5952405654e+01
1.2858440393e+00 1.2026330686e+00 4.5875506739e+01
1.3092802169e+00 1.1791972585e+00 4.7062331545e+01
1.2866252452e+00 1.2018518750e+00 4.5913917886e+01
1.2752977594e+00 1.2129838848e+00 4.5370626608e+01
1.2961950177e+00 1.1920869541e+00 4.6397464422e+01
1.2825239141e+00 1.2057578433e+00 4.5719548588e+01
1.3198264968e+00 1.1686511439e+00 4.7620945762e+01
1.2807662008e+00 1.2079061259e+00 4.5621278222e+01
1.2862346423e+00 1.2022424718e+00 4.5894702752e+01
1.2688528105e+00 1.2198193295e+00 4.5052312492e+01
1.2778366786e+00 1.2106403038e+00 4.5486146728e+01
1.3303727767e+00 1.1581050293e+00 4.8195935174e+01
1.3174828790e+00 1.1709947249e+00 4.7495424444e+01
1.2538145966e+00 1.2346620092e+00 4.4363425293e+01
1.2600642439e+00 1.2286077583e+00 4.4643175350e+01
1.3153345628e+00 1.1731430075e+00 4.7381065335e+01
1.2784225831e+00 1.2102497070e+00 4.5508009295e+01
1.2569394203e+00 1.2317325330e+00 4.4499797594e+01
1.3106473272e+00 1.1776348711e+00 4.7140858090e+01
